#  N_snap redshift aexp DC_min DC_max N_replicas
1.600000000000000000e+01 3.310000000000000053e+00 2.317400000000000015e-01 6.923722577467805422e+03 6.716912590666393953e+03 3.000000000000000000e+00
1.700000000000000000e+01 3.129999999999999893e+00 2.421800000000000064e-01 6.716912590666393953e+03 6.548607560069247484e+03 3.000000000000000000e+00
1.800000000000000000e+01 2.950000000000000178e+00 2.531100000000000017e-01 6.548607560069247484e+03 6.374366115648848790e+03 3.000000000000000000e+00
1.900000000000000000e+01 2.779999999999999805e+00 2.645799999999999819e-01 6.374366115648848790e+03 6.193667927847543979e+03 3.000000000000000000e+00
2.000000000000000000e+01 2.609999999999999876e+00 2.765799999999999925e-01 6.193667927847543979e+03 6.012708086597014699e+03 3.000000000000000000e+00
2.100000000000000000e+01 2.459999999999999964e+00 2.891599999999999726e-01 6.012708086597014699e+03 5.825327178702982565e+03 3.000000000000000000e+00
2.200000000000000000e+01 2.299999999999999822e+00 3.021599999999999842e-01 5.825327178702982565e+03 5.632625015085552150e+03 2.000000000000000000e+00
2.300000000000000000e+01 2.160000000000000142e+00 3.159000000000000141e-01 5.632625015085552150e+03 5.447936659766321100e+03 2.000000000000000000e+00
2.400000000000000000e+01 2.029999999999999805e+00 3.301600000000000090e-01 5.447936659766321100e+03 5.258942185905814767e+03 2.000000000000000000e+00
2.500000000000000000e+01 1.899999999999999911e+00 3.451899999999999968e-01 5.258942185905814767e+03 5.058135255910310661e+03 2.000000000000000000e+00
2.600000000000000000e+01 1.770000000000000018e+00 3.608399999999999941e-01 5.058135255910310661e+03 4.853078504563680326e+03 2.000000000000000000e+00
2.700000000000000000e+01 1.649999999999999911e+00 3.772300000000000098e-01 4.853078504563680326e+03 4.652855306142431800e+03 2.000000000000000000e+00
2.800000000000000000e+01 1.540000000000000036e+00 3.943499999999999783e-01 4.652855306142431800e+03 4.449727380069096398e+03 2.000000000000000000e+00
2.900000000000000000e+01 1.429999999999999938e+00 4.122500000000000053e-01 4.449727380069096398e+03 4.234473957939932006e+03 2.000000000000000000e+00
3.000000000000000000e+01 1.320000000000000062e+00 4.308299999999999907e-01 4.234473957939932006e+03 4.017009540935728182e+03 2.000000000000000000e+00
3.100000000000000000e+01 1.219999999999999973e+00 4.504000000000000226e-01 4.017009540935728182e+03 3.797499924410560197e+03 2.000000000000000000e+00
3.200000000000000000e+01 1.120000000000000107e+00 4.707899999999999863e-01 3.797499924410560197e+03 3.577444125209267440e+03 2.000000000000000000e+00
3.300000000000000000e+01 1.030000000000000027e+00 4.921499999999999764e-01 3.577444125209267440e+03 3.357221835157762143e+03 2.000000000000000000e+00
3.400000000000000000e+01 9.399999999999999467e-01 5.143299999999999539e-01 3.357221835157762143e+03 3.138603189808664865e+03 2.000000000000000000e+00
3.500000000000000000e+01 8.599999999999999867e-01 5.377600000000000158e-01 3.138603189808664865e+03 2.922185614505977355e+03 2.000000000000000000e+00
3.600000000000000000e+01 7.800000000000000266e-01 5.620600000000000041e-01 2.922185614505977355e+03 2.695112103744309024e+03 1.000000000000000000e+00
3.700000000000000000e+01 6.999999999999999556e-01 5.875200000000000422e-01 2.695112103744309024e+03 2.472366792480607728e+03 1.000000000000000000e+00
3.800000000000000000e+01 6.300000000000000044e-01 6.141999999999999682e-01 2.472366792480607728e+03 2.254809236738386971e+03 1.000000000000000000e+00
3.900000000000000000e+01 5.600000000000000533e-01 6.418899999999999606e-01 2.254809236738386971e+03 2.027829794407143709e+03 1.000000000000000000e+00
4.000000000000000000e+01 4.899999999999999911e-01 6.711700000000000443e-01 2.027829794407143709e+03 1.808650052864192958e+03 1.000000000000000000e+00
4.100000000000000000e+01 4.299999999999999933e-01 7.014599999999999724e-01 1.808650052864192958e+03 1.580116480021103371e+03 1.000000000000000000e+00
4.200000000000000000e+01 3.599999999999999867e-01 7.330999999999999739e-01 1.580116480021103371e+03 1.343366304366848453e+03 1.000000000000000000e+00
4.300000000000000000e+01 2.999999999999999889e-01 7.664699999999999847e-01 1.343366304366848453e+03 1.135971620540028198e+03 1.000000000000000000e+00
4.400000000000000000e+01 2.500000000000000000e-01 8.012200000000000433e-01 1.135971620540028198e+03 9.214249675595576718e+02 1.000000000000000000e+00
4.500000000000000000e+01 1.900000000000000022e-01 8.373500000000000387e-01 9.214249675595576718e+02 7.008951240335691182e+02 1.000000000000000000e+00
4.600000000000000000e+01 1.400000000000000133e-01 8.752900000000000125e-01 7.008951240335691182e+02 5.007951224944285968e+02 1.000000000000000000e+00
4.700000000000000000e+01 9.299999999999999933e-02 9.150099999999999900e-01 5.007951224944285968e+02 2.998138067673615978e+02 1.000000000000000000e+00
4.800000000000000000e+01 4.499999999999999833e-02 9.564500000000000224e-01 2.998138067673615978e+02 1.469624632601257872e+02 1.000000000000000000e+00
4.900000000000000000e+01 2.199999999999999872e-02 9.778200000000000225e-01 1.469624632601257872e+02 4.843277237808500502e+01 1.000000000000000000e+00
5.000000000000000000e+01 0.000000000000000000e+00 9.999799999999999800e-01 4.843277237808500502e+01 0.000000000000000000e+00 1.000000000000000000e+00
